,0,1,2,3,4,5
0,-84.98202036136544,-0.0,-84.65800560851275,-28.220196216590598,-0.0,-26.744755071391797
1,-83.8404476503991,-0.0,-83.44385412695755,-27.964633753029542,-0.0,-26.498314654590587
2,-82.65602225981425,-0.0,-82.18485719470829,-27.702802945956716,-0.0,-26.24594423298335
3,-81.42735602911475,-0.0,-80.87976832214717,-27.434481659771865,-0.0,-25.98743731859683
4,-80.1531180835655,-0.0,-79.52743954005162,-27.159437747902473,-0.0,-25.72257825874134
5,-78.83205747211072,-0.0,-78.1268489217106,-26.877428524557214,-0.0,-25.451141757936654
6,-77.46302889999552,-0.0,-76.67713109395291,-26.58820020629403,-0.0,-25.172892372623128
7,-76.04502159778625,-0.0,-75.17761055724017,-26.29148732175505,-0.0,-24.887583977145383
8,-74.57719125547302,-0.0,-73.62783746783478,-25.987012087868404,-0.0,-24.594959199440055
9,-73.05889480397991,-0.0,-72.0276253347894,-25.674483750772353,-0.0,-24.29474882480667
10,-71.48972764490864,-0.0,-70.37708985452274,-25.35359788968254,-0.0,-23.986671166095906
11,-69.86956271346216,-0.0,-68.67668785371669,-25.02403568190225,-0.0,-23.670431398612557
12,-68.19859051364818,-0.0,-66.92725505009061,-24.685463127171417,-0.0,-23.345720858006136
13,-66.4773589982237,-0.0,-65.13004108896821,-24.337530229568152,-0.0,-23.012216299411982
14,-64.70681189329743,-0.0,-63.28674009590858,-23.979870135221645,-0.0,-22.669579116115354
15,-62.888323810156905,-0.0,-61.3995148312498,-23.61209822417464,-0.0,-22.317454516044428
16,-61.02373027181477,-0.0,-59.47101247302906,-23.23381115485483,-0.0,-21.9554706544617
17,-59.115350640713004,-0.0,-57.504370121304916,-22.844585859787053,-0.0,-21.58323772132391
18,-57.16600190073827,-0.0,-55.50320833475429,-22.443978491413677,-0.0,-21.200346981926966
19,-55.179001352893636,-0.0,-53.471611393946276,-22.03152331720207,-0.0,-20.806369769653692
20,-53.158156554094695,-0.0,-51.41409353317113,-21.606731563621256,-0.0,-20.4008564299119
